label,cell_type,mean_attention,sem,count
Gustatory areas,Unclear,0.129828453064,0.0141754396872,3
"Primary somatosensory area, trunk",TR,0.119398117065,0.0,1
"Retrosplenial area, lateral agranular part",Unclear,0.114374876022,0.0319388536829,4
Posterior auditory area,Unclear,0.103116989136,0.0,1
"Retrosplenial area, lateral agranular part",PPP,0.0984076976776,0.0243317543278,15
Posterior auditory area,NP PPP/RSP,0.0968189239502,0.0,1
Anteromedial visual area,TR,0.0946407318115,0.0,1
Anterolateral visual area,ENT DL,0.0942194312811,0.0366740101917,8
"Retrosplenial area, lateral agranular part",ENT L6b,0.0922267436981,0.0306195693445,4
Ectorhinal area,BLA/BMA/PA,0.085075548717,0.0292753998461,7
Infralimbic area,L6 IT,0.0847760836283,0.0521076157456,3
Anteromedial visual area,HIP CA3,0.0833888053894,0.00650453567505,2
Anterior area,RSP/ACA ML,0.0793334643046,0.0238773214127,3
Primary visual area,ENT UL,0.079174041748,0.0,1
"Primary somatosensory area, mouth",L5 ET,0.0747087429962,0.00211471998183,529
Secondary motor area,PPP,0.0739598274231,0.0198470829112,5
Posterior auditory area,ENT L6b,0.0729608535767,0.0,1
Anterior area,RSP/ACA UL,0.0729088068008,0.0371139619652,5
Primary visual area,LA,0.0722551345825,0.00978708267212,2
Perirhinal area,NP PPP/RSP,0.0720567703247,0.0,1
Primary auditory area,AON,0.071400642395,0.0,1
"Agranular insular area, posterior part",BA,0.0713062286377,0.0,1
Lateral visual area,Unclear,0.0712313652039,0.0415768623352,2
"Primary somatosensory area, nose",COA,0.0701656341553,0.0,1
"Primary somatosensory area, barrel field",ENT DL,0.0691967010498,0.0,1
Ectorhinal area,LA,0.068829536438,0.0,1
"Retrosplenial area, dorsal part",AON,0.0685729980469,0.0,1
Posterolateral visual area,L6b,0.068511750963,0.0117592065617,9
Lateral visual area,ENT DL,0.0677103847265,0.0157849189121,8
Posterolateral visual area,Unclear,0.0669457117716,0.00516042449988,3
Posterolateral visual area,ENT L6b,0.0663905620575,0.00961206507732,10
