label,cell_type,mean_loss_increase,sem,n_groups,mean_n_dropped,error_rate_increase
Prelimbic area,L6b/CT,2.65249300003,0.0,1,17.0,0.0
Lateral visual area,L2/3 IT,1.69314010614,0.297142878039,91,11.7252747253,0.0879120879121
Cortical subplate,Car3,1.61396637943,0.540704053121,31,8.74193548387,0.129032258065
Rostrolateral visual area,L2/3 IT,1.55136122299,0.209893333805,107,11.0186915888,0.196261682243
Gustatory areas,L4/5 IT,1.3957896194,0.21232160925,141,8.14893617021,0.198581560284
"Primary somatosensory area, mouth",L4/5 IT,1.16288426024,0.085909905229,515,9.0640776699,0.229126213592
Primary auditory area,L4/5 IT,1.06593788421,0.159449512547,197,11.3197969543,0.172588832487
Laterointermediate area,PIR UL,1.04548311234,0.0,1,1.0,0.0
"Anterior cingulate area, ventral part",RSP/ACA ML,1.02635078915,0.155516395744,120,6.80833333333,0.133333333333
Anteromedial visual area,L5 IT,1.01451084627,0.14390849307,106,4.45283018868,0.132075471698
posteromedial visual area,COA,0.982887506485,0.821551084518,2,1.0,0.0
"Agranular insular area, ventral part",L2/3 IT,0.977498218055,0.436244388618,27,9.96296296296,0.148148148148
Visceral area,L4/5 IT,0.935194011441,0.199445415481,164,12.2682926829,0.0853658536585
Supplemental somatosensory area,Car3,0.909121063388,0.0489001217706,610,3.53606557377,0.131147540984
"Agranular insular area, ventral part",EPd,0.882616718961,0.311238459393,31,3.41935483871,0.0322580645161
corpus callosum,NA,0.87780380249,0.48791885376,2,10.5,0.0
Posterolateral visual area,L6b,0.868905067444,0.236401557922,2,1.0,0.0
posteromedial visual area,L4/5 IT,0.860977274953,0.177446841659,103,8.11650485437,0.00970873786408
"Primary somatosensory area, mouth",L2/3 IT,0.839032484037,0.0770475345182,466,8.70815450644,0.212446351931
Rostrolateral visual area,L4/5 IT,0.837403802767,0.158979483663,121,8.15702479339,0.206611570248
Dorsal auditory area,L4/5 IT,0.831292845852,0.212347016087,108,7.71296296296,0.101851851852
Cortical subplate,L6 IT,0.82321716845,0.195291555163,32,5.71875,0.03125
Cortical subplate,EPd,0.820086663961,0.212444197725,25,3.32,0.0
Posterior auditory area,L2/3 IT,0.799133437375,0.267131387553,51,8.80392156863,0.0196078431373
"Primary somatosensory area, barrel field",ENT DL,0.796015024185,0.0,1,1.0,0.0
Primary auditory area,L6 CT,0.784711312374,0.137942867174,98,6.55102040816,0.122448979592
"Primary somatosensory area, lower limb",L4/5 IT,0.783082687294,0.14410605908,204,8.43137254902,0.102941176471
Laterointermediate area,L2/3 IT,0.778920675726,0.463380803092,38,9.71052631579,0.131578947368
Gustatory areas,L2/3 IT,0.759277079186,0.138809360257,107,6.75700934579,0.0747663551402
Anterolateral visual area,L2/3 IT,0.756112000784,0.169426551697,87,9.10344827586,0.114942528736
Primary visual area,HIP SUB,0.709537029266,0.0720019340515,2,1.5,0.0
"Retrosplenial area, ventral part",BLA/BMA/PA,0.674676179886,0.0,1,1.0,0.0
"Retrosplenial area, dorsal part",ENT L6b,0.672629714012,0.0,1,1.0,0.0
Gustatory areas,Car3,0.65484517658,0.136352935859,106,3.80188679245,0.103773584906
Primary auditory area,L2/3 IT,0.626284237595,0.108577597214,176,8.23295454545,0.0795454545455
posteromedial visual area,L5 ET,0.621168426606,0.137033641502,86,3.02325581395,0.0116279069767
Perirhinal area,ENT L6b,0.612707225567,0.17118280841,12,4.75,0.0833333333333
Laterointermediate area,Car3,0.591564306081,0.261418783163,20,2.2,0.15
Laterointermediate area,L6b,0.587028596136,0.576855581994,9,3.77777777778,0.111111111111
"Primary somatosensory area, unassigned",L6 CT,0.584192285832,0.126685336071,126,5.23015873016,0.015873015873
Anterolateral visual area,RSP/ACA ML,0.575981199741,0.0,1,1.0,0.0
Lateral visual area,L6 IT,0.566005908547,0.17409861356,58,4.01724137931,0.120689655172
Laterointermediate area,L6 CT,0.557047151305,0.235687265657,27,6.2962962963,0.0740740740741
Primary visual area,L2/3 IT,0.556583781653,0.0620587181021,541,10.573012939,0.103512014787
Primary auditory area,DGpo,0.555487632751,0.0618171691895,2,1.0,0.0
Primary auditory area,PPP,0.551014900208,0.0,1,1.0,0.0
"Primary somatosensory area, barrel field",L4/5 IT,0.543934577802,0.0700828705089,643,11.566096423,0.138413685848
Anteromedial visual area,L4/5 IT,0.540537695447,0.171260451521,101,5.34653465347,0.049504950495
Perirhinal area,ENT UL,0.529468169856,0.191533557493,14,3.85714285714,0.0714285714286
Gustatory areas,ENT L6b,0.527341842651,0.0,1,1.0,0.0
Ectorhinal area,L6b,0.515310477808,0.158713140765,51,4.39215686275,0.0392156862745
cerebrum related,RSP/ACA ML,0.508250236511,0.0,1,4.0,0.0
Posterolateral visual area,L6 CT,0.501335213582,0.220807426077,12,3.33333333333,0.0
Dorsal auditory area,L2/3 IT,0.499793935207,0.206446644095,115,11.1304347826,0.00869565217391
Laterointermediate area,L5 ET,0.499130886897,0.257374849618,17,3.41176470588,0.117647058824
posteromedial visual area,RSP/ACA ML,0.497888445854,0.195405602455,2,1.0,0.0
"Primary somatosensory area, trunk",L4/5 IT,0.497368909176,0.177438730492,123,9.37398373984,0.113821138211
Dorsal auditory area,L6 CT,0.491992171393,0.141882966506,89,6.0,0.0561797752809
Temporal association areas,Car3,0.486693126023,0.111989203563,150,4.46,0.0866666666667
