label,cell_type,mean_attention,sem,count
Anteromedial visual area,EPd,0.119487694332,0.00465876911819,14
posteromedial visual area,Unclear,0.105150906479,0.0127302694831,68
posteromedial visual area,EPd,0.0934589378762,0.00658011737822,99
Anterolateral visual area,ENT DL,0.0914173796773,0.00785893426738,128
"Anterior cingulate area, ventral part",L6b,0.0767920811971,0.00112501780192,3
Rostrolateral visual area,ENT L6b,0.0760278701782,0.00244813682971,3
"Anterior cingulate area, ventral part",Low quality,0.0754327774048,0.0,1
posteromedial visual area,ENT L6b,0.0720659255981,0.00499918581243,45
Perirhinal area,NP PPP/RSP,0.0712890625,0.000767707824707,2
Anterior area,AON,0.069722811381,0.00242678324382,3
Postrhinal area,TT,0.0696303503854,0.00474268354913,21
posteromedial visual area,L6b/CT,0.0674723505064,0.00323231203212,393
Posterior auditory area,Unclear,0.0665434731377,0.0061371521901,45
Laterointermediate area,EPd,0.0662126660347,0.00728325249763,40
"Primary somatosensory area, upper limb",L5 IT,0.0655168427361,0.0183280066866,9
"Retrosplenial area, lateral agranular part",Unclear,0.0652517965862,0.0107550316057,35
Rostrolateral visual area,ENT DL,0.0652369208958,0.00134797140918,23
"Primary somatosensory area, upper limb",L6 IT,0.0643818601966,0.0195356170364,8
Posterolateral visual area,ENT L6b,0.063343204721,0.00169394225066,274
Primary visual area,ENT L6b,0.0629126998982,0.00186049621546,403
Posterior auditory area,ENT DL,0.0619554920101,0.0013946251402,902
Perirhinal area,HIP CA1,0.060972849528,0.00222543526843,18
Anteromedial visual area,TR,0.0607195461498,0.00412595888169,17
Lateral visual area,ENT DL,0.060603805411,0.00279034787572,284
Postrhinal area,ENT DL,0.0603131602941,0.000439922536085,6979
Laterointermediate area,ENT DL,0.0599521694168,0.00224315056457,621
Posterior auditory area,EPd,0.0597734451294,0.00506745328359,24
Anterolateral visual area,L6 IT,0.0596090116656,0.000522085572377,11307
Posterior auditory area,L6 IT,0.0594599713527,0.000730328867104,4032
Postrhinal area,BLAa,0.0593229701122,0.0027122228903,120
Dorsal auditory area,L6 IT,0.0590050438578,0.000594470049081,6793
"Agranular insular area, posterior part",L2/3 IT,0.0587946902151,0.003473356758,92
"Retrosplenial area, lateral agranular part",PPP,0.0583703598686,0.00283628012049,428
Posterior auditory area,NP PPP/RSP,0.0579643959508,0.00853782979969,34
Laterointermediate area,L6 IT,0.0578349312311,0.000608018164448,4864
Gustatory areas,ENT DL,0.0578164100647,0.0070944319976,5
Lateral visual area,ENT L6b,0.0575493108481,0.00294531103497,128
Primary visual area,LA,0.0568638549132,0.00308392327981,34
posteromedial visual area,LA,0.0568461418152,0.00778011460256,4
Rostrolateral visual area,AON,0.0568458169371,0.00303534664227,91
"Primary somatosensory area, barrel field",ENT ML,0.0556650161743,0.0,1
Primary visual area,ENT UL,0.0556411743164,0.00302516601874,34
Lateral visual area,L6b/CT,0.0555700506292,0.00177710270067,670
"Retrosplenial area, lateral agranular part",ENT L6b,0.0547113674943,0.00385333793055,93
"Primary somatosensory area, barrel field",L6 IT,0.0545237457844,0.00119267965086,2073
"Primary somatosensory area, trunk",L2/3 IT,0.0544552552073,0.00549088904082,76
Anteromedial visual area,ENT ML,0.0540787332198,0.00345771904324,34
Primary auditory area,L6 IT,0.0534633412106,0.000250644970916,19928
Secondary motor area,L2/3 IT,0.0534234932491,0.00718685066612,35
"Primary somatosensory area, unassigned",L2/3 IT,0.0530826023647,0.00946747416368,28
"Retrosplenial area, dorsal part",PIR UL,0.0524375757506,0.00543316723423,86
Ectorhinal area,ENT DL,0.0522900166721,0.000348079763706,10340
"Primary somatosensory area, barrel field",AON,0.0518932623022,0.00229498874298,17
Laterointermediate area,L6b/CT,0.0516615480185,0.00167532910455,280
Posterolateral visual area,Unclear,0.05128733476,0.00173092639672,150
Supplemental somatosensory area,L6 IT,0.0512866881199,0.00117705936966,1312
Postrhinal area,L6 IT,0.0509957969952,0.000413880088928,5854
Posterior auditory area,HIP SUB,0.0507796605428,0.00195744112794,3
"Retrosplenial area, ventral part",ENT ML,0.0507745061602,0.0033107831435,7
Rostrolateral visual area,RSP/ACA UL,0.0505502700806,0.00658334005765,5
Postrhinal area,NP PPP/RSP,0.0501770455235,0.00126226864811,313
Temporal association areas,ENT DL,0.0501542966224,0.000257667920459,14858
Anterolateral visual area,EPd,0.0499488587649,0.00338770500124,53
Ventral auditory area,ENT DL,0.049686903845,0.000527895009781,2701
"Agranular insular area, posterior part",L6 IT,0.04954454422,0.0060449845784,25
Ectorhinal area,BLA/BMA/PA,0.0494525625248,0.00354343315711,198
Posterolateral visual area,L6b,0.0492170491944,0.00140198621448,368
Perirhinal area,ENT L6b,0.0491125379214,0.000969644663486,898
"Primary somatosensory area, trunk",L4/5 IT,0.0490468740463,0.00506573193567,41
Anteromedial visual area,ENT DL,0.0489815411897,0.00195377984418,116
"Retrosplenial area, ventral part",L6b/CT,0.0488077786904,0.00187356871089,158
Ventral auditory area,L6 IT,0.0486408129701,0.000365844500113,6621
Lateral visual area,L6 IT,0.0483019299734,0.000308405581619,19285
Laterointermediate area,NP PPP/RSP,0.0477826264169,0.00517987134549,18
Lateral visual area,Unclear,0.0474939813338,0.00452536608287,82
