brain,condition,label,area_name,area_mm2,pixel_count
D076_1L,control,5,Primary auditory area,1.90433360736,7646
D076_1L,control,9,Dorsal auditory area,1.14468779064,4255
D076_1L,control,12,Ventral auditory area,1.19289759721,5158
D076_1L,control,15,Posterior auditory area,0.351959583682,1402
D076_1L,control,20,"Agranular insular area, dorsal part",2.57434985193,10937
D076_1L,control,25,Gustatory areas,0.844350255753,3827
D076_1L,control,39,"Agranular insular area, posterior part",1.29712029118,6443
D076_1L,control,44,"Agranular insular area, ventral part",1.17334598704,4853
D076_1L,control,78,Anterior area,0.797491279904,3042
D076_1L,control,79,Laterointermediate area,0.336687711898,1465
D076_1L,control,80,Postrhinal area,1.56274259701,8382
D076_1L,control,87,"Primary somatosensory area, barrel field",4.80946848917,17972
D076_1L,control,90,"Primary somatosensory area, lower limb",0.849821487875,3457
D076_1L,control,93,"Primary somatosensory area, mouth",4.82982900538,19326
D076_1L,control,97,"Primary somatosensory area, nose",1.71583185424,6400
D076_1L,control,100,"Primary somatosensory area, trunk",0.978792755931,3769
D076_1L,control,103,"Primary somatosensory area, upper limb",2.59476697906,10679
D076_1L,control,106,Supplemental somatosensory area,4.96159993136,19387
D076_1L,control,110,Primary visual area,9.48557347406,41610
D076_1L,control,112,"Anterior cingulate area, dorsal part",6.7872923146,28641
D076_1L,control,113,Anteromedial visual area,0.199894658977,786
D076_1L,control,117,Anterolateral visual area,0.617778966214,2295
D076_1L,control,120,Lateral visual area,1.31422334779,5360
D076_1L,control,121,Rostrolateral visual area,0.714078982997,2647
D076_1L,control,123,Posterolateral visual area,1.66427606023,6436
D076_1L,control,134,"Anterior cingulate area, ventral part",4.38752912579,17625
D076_1L,control,159,posteromedial visual area,0.705618521047,2749
D076_1L,control,161,Temporal association areas,1.89131229044,8690
D076_1L,control,185,Visceral area,0.953129878974,4067
D076_1L,control,193,Cortical subplate,0.0829245830135,298
D076_1L,control,198,"Orbital area, lateral part",4.96251896057,21662
D076_1L,control,243,"Retrosplenial area, dorsal part",4.04954474445,20723
D076_1L,control,246,"Retrosplenial area, ventral part",4.81469453055,24193
D076_1L,control,248,"Retrosplenial area, lateral agranular part",2.509571243,12678
D076_1L,control,249,Ectorhinal area,5.46700378776,23972
D076_1L,control,259,Perirhinal area,0.0201316377981,107
D076_1L,control,284,Primary motor area,8.03440040895,34223
D076_1L,control,288,Secondary motor area,4.62337647422,18583
D077_1L,control,5,Primary auditory area,1.46512873976,5751
D077_1L,control,9,Dorsal auditory area,1.78200654075,6574
D077_1L,control,12,Ventral auditory area,1.26154028875,5303
D077_1L,control,15,Posterior auditory area,0.655863108735,2734
D077_1L,control,20,"Agranular insular area, dorsal part",1.73970135714,7488
D077_1L,control,25,Gustatory areas,1.13972036457,5005
D077_1L,control,39,"Agranular insular area, posterior part",2.609176344,12422
D077_1L,control,44,"Agranular insular area, ventral part",0.358897004881,1646
D077_1L,control,59,"Primary somatosensory area, unassigned",0.899934798269,3813
D077_1L,control,60,"Frontal pole, cerebral cortex",6.90587466703,34075
D077_1L,control,78,Anterior area,1.69149508739,6432
D077_1L,control,79,Laterointermediate area,0.331762722928,1557
D077_1L,control,80,Postrhinal area,0.852387786896,4772
D077_1L,control,87,"Primary somatosensory area, barrel field",4.35204894908,16428
D077_1L,control,90,"Primary somatosensory area, lower limb",1.04211810464,4288
D077_1L,control,93,"Primary somatosensory area, mouth",2.63867707925,10692
D077_1L,control,97,"Primary somatosensory area, nose",2.90209445279,11612
D077_1L,control,100,"Primary somatosensory area, trunk",1.09775736405,4306
D077_1L,control,103,"Primary somatosensory area, upper limb",0.865487390234,3830
D077_1L,control,106,Supplemental somatosensory area,4.88017207757,18516
D077_1L,control,110,Primary visual area,8.76440596187,35403
D077_1L,control,112,"Anterior cingulate area, dorsal part",3.28326957321,12465
D077_1L,control,113,Anteromedial visual area,0.852254141517,3215
D077_1L,control,117,Anterolateral visual area,0.779154445534,3038
D077_1L,control,120,Lateral visual area,1.22443335018,6062
D077_1L,control,121,Rostrolateral visual area,1.24230194594,4610
D077_1L,control,134,"Anterior cingulate area, ventral part",4.83740455152,18521
D077_1L,control,159,posteromedial visual area,0.321744411655,1220
D077_1L,control,161,Temporal association areas,2.3493796052,10419
D077_1L,control,185,Visceral area,0.901826866914,3573
D077_1L,control,193,Cortical subplate,5.49372598351,23283
D077_1L,control,198,"Orbital area, lateral part",1.9916945488,6693
D077_1L,control,243,"Retrosplenial area, dorsal part",4.215107403,22600
D077_1L,control,246,"Retrosplenial area, ventral part",6.40181162964,33353
D077_1L,control,248,"Retrosplenial area, lateral agranular part",2.81984646579,12735
D077_1L,control,249,Ectorhinal area,1.84454516873,8222
D077_1L,control,259,Perirhinal area,0.10496385545,506
D077_1L,control,280,Prelimbic area,0.0192041018112,87
D077_1L,control,284,Primary motor area,5.44294172736,23058
D077_1L,control,288,Secondary motor area,4.84309108167,19438
D078_1L,control,5,Primary auditory area,1.77922696587,6576
D078_1L,control,9,Dorsal auditory area,0.944057876649,3503
D078_1L,control,12,Ventral auditory area,1.96463873175,7813
D078_1L,control,15,Posterior auditory area,0.630179169369,2460
D078_1L,control,20,"Agranular insular area, dorsal part",3.62363032335,15491
D078_1L,control,25,Gustatory areas,1.38652812675,5952
D078_1L,control,39,"Agranular insular area, posterior part",3.23910556803,15363
D078_1L,control,44,"Agranular insular area, ventral part",1.50284956979,6011
D078_1L,control,78,Anterior area,0.526630258662,1987
D078_1L,control,79,Laterointermediate area,0.000422721813138,2
D078_1L,control,80,Postrhinal area,1.51051027929,8073
D078_1L,control,87,"Primary somatosensory area, barrel field",3.03051693323,11333
D078_1L,control,90,"Primary somatosensory area, lower limb",1.39762788506,5615
D078_1L,control,93,"Primary somatosensory area, mouth",6.30518726986,26360
D078_1L,control,100,"Primary somatosensory area, trunk",0.529805354187,2017
D078_1L,control,103,"Primary somatosensory area, upper limb",2.41284824119,9880
D078_1L,control,106,Supplemental somatosensory area,5.95180347335,22497
D078_1L,control,110,Primary visual area,8.84827767104,37610
D078_1L,control,112,"Anterior cingulate area, dorsal part",2.78911952792,11082
D078_1L,control,113,Anteromedial visual area,0.473647081882,1803
D078_1L,control,117,Anterolateral visual area,0.922794158254,3421
D078_1L,control,120,Lateral visual area,0.553515810921,2375
D078_1L,control,121,Rostrolateral visual area,0.512077357931,1902
D078_1L,control,123,Posterolateral visual area,1.60246053215,6238
D078_1L,control,125,Infralimbic area,0.413305974268,735
D078_1L,control,134,"Anterior cingulate area, ventral part",1.93720337461,7935
D078_1L,control,159,posteromedial visual area,0.0733606865631,282
D078_1L,control,161,Temporal association areas,2.8451410897,12427
D078_1L,control,185,Visceral area,1.69051075457,6798
D078_1L,control,198,"Orbital area, lateral part",2.18142772847,10981
D078_1L,control,201,"Orbital area, medial part",0.782086112525,1761
D078_1L,control,205,"Orbital area, ventrolateral part",1.66370781419,4606
D078_1L,control,243,"Retrosplenial area, dorsal part",3.70988827727,20158
D078_1L,control,246,"Retrosplenial area, ventral part",5.16689380384,26304
