label,cell_type,mean_attention,sem,count
mild,mast cell,0.11372697353363037,0.004237532615661621,2
mild,hematopoietic stem cell,0.11113715544342995,0.011995688244678143,32
mild,classical monocyte,0.10222534539894829,0.0005987183170673046,6239
mild,megakaryocyte-erythroid progenitor cell,0.09515293439229329,0.005093421772535015,42
mild,non-classical monocyte,0.08997225245413319,0.00159766322875854,901
severe,classical monocyte,0.08956163109369379,0.00025231219265084724,12966
mild,dendritic cell,0.08841871372802519,0.0033577306412829883,283
control,hematopoietic stem cell,0.08497195071484669,0.003924392046990598,83
control,mast cell,0.08298174540201823,0.02247099629393958,3
mild,plasmablast,0.0780707133443732,0.0023631846295665633,285
severe,megakaryocyte-erythroid progenitor cell,0.07722435394922893,0.0031165101205613555,120
severe,non-classical monocyte,0.07641732349800034,0.0007308627341201943,1321
control,plasmablast,0.07470231980578555,0.0011354074196289973,423
severe,hematopoietic stem cell,0.07432676127978734,0.004887327968772728,70
control,natural killer cell,0.07136842712930655,0.0004105367406510873,5762
mild,enucleated reticulocyte,0.06953697204589844,0.004522594725401649,25
control,"double-positive, alpha-beta thymocyte",0.06759208836545887,0.0013996256014636044,497
mild,blood cell,0.06708499382435379,0.0010672271898436265,1663
control,dendritic cell,0.06675626186842329,0.0010155639394853065,890
severe,blood cell,0.06617877760663965,0.0006477970828592215,2660
severe,enucleated reticulocyte,0.06519511166740866,0.0034748239862526366,51
control,"CD8-positive, alpha-beta T cell",0.06451355854891877,0.00028465643267097185,10397
control,megakaryocyte-erythroid progenitor cell,0.06422720849514008,0.0037309406316073466,32
control,mucosal invariant T cell,0.06389050226505488,0.0011514293925685068,584
control,blood cell,0.06318883985599431,0.0005379932201711807,3182
control,gamma-delta T cell,0.06307452162522195,0.0009954581388585528,861
control,non-classical monocyte,0.062268621076351754,0.0004927731398901776,2457
severe,dendritic cell,0.06190659507872567,0.0019064591102556303,252
control,"CD4-positive, alpha-beta T cell",0.0616523351267276,0.000210344774253029,19140
control,classical monocyte,0.06044613495164039,0.0002881759901782643,10258
control,double negative T regulatory cell,0.05912214340868022,0.0014654462167448554,371
mild,natural killer cell,0.05188957144426403,0.0007503336347797536,2367
mild,"double-positive, alpha-beta thymocyte",0.051509712472816424,0.002196170311952336,173
mild,double negative T regulatory cell,0.05009308252625793,0.0025899947731363665,131
mild,"CD4-positive, alpha-beta T cell",0.048757429629034496,0.0002730196689038038,9338
severe,natural killer cell,0.04826141254346802,0.0004918687244277254,2139
mild,"CD8-positive, alpha-beta T cell",0.04598153646052828,0.00040221868543694085,4292
mild,mucosal invariant T cell,0.04589215396107107,0.0010511162122261717,414
mild,gamma-delta T cell,0.045765400610186836,0.0010136241780082829,660
severe,gamma-delta T cell,0.045379985543623776,0.0008336834501511772,568
control,B cell,0.04472431165295439,0.00028539537568376413,2796
severe,double negative T regulatory cell,0.043792404451416536,0.0017585351747910283,103
severe,"CD8-positive, alpha-beta T cell",0.04334497102496998,0.0003061119474470919,3558
severe,"CD4-positive, alpha-beta T cell",0.042560634253304315,0.00017920512642778747,9118
severe,"double-positive, alpha-beta thymocyte",0.04133741720274546,0.0010429429427946525,229
severe,mucosal invariant T cell,0.040379145523396935,0.0017817021823669902,82
control,enucleated reticulocyte,0.0400870144367218,0.005508081829052277,8
mild,B cell,0.037404272869917994,0.00026970752457164887,1969
severe,plasmablast,0.035963914353968736,0.0006363574236427563,295
severe,B cell,0.03393227476832256,0.00019807419386222246,2627
severe,mast cell,0.03160858154296875,0.0,1
