dataset,method,group_size,metric,mean,std,n_runs
combat,tissueformer,1,group_accuracy,0.6911907395547866,0.17504481149476522,3
combat,tissueformer,2,group_accuracy,0.7289862880892387,0.010344008960556811,4
combat,tissueformer,4,group_accuracy,0.7836533681344053,0.0652266592089806,3
combat,tissueformer,8,group_accuracy,0.7751485462950845,0.1076404071173054,5
combat,tissueformer,16,group_accuracy,0.7605983025221146,0.1026887815083246,5
combat,tissueformer,32,group_accuracy,0.8252087192128827,0.10554738165808591,5
combat,tissueformer,64,group_accuracy,0.8385123724680147,0.10093664315862734,3
combat,tissueformer,128,group_accuracy,0.6454577934197195,0.08606620339836517,2
combat,tissueformer,256,group_accuracy,0.7848144952545297,0.06784320454524943,2
combat,tissueformer,512,group_accuracy,0.6929425659338615,0.11855340874701316,3
combat,tissueformer,1,group_balanced_accuracy,0.6749801981865847,0.0974221716845243,3
combat,tissueformer,2,group_balanced_accuracy,0.7616188932980458,0.07781949566464089,4
combat,tissueformer,4,group_balanced_accuracy,0.8144730902419589,0.10994603394283328,3
combat,tissueformer,8,group_balanced_accuracy,0.78599722048154,0.09416147415488005,5
combat,tissueformer,16,group_balanced_accuracy,0.7797789184860019,0.09025337908700574,5
combat,tissueformer,32,group_balanced_accuracy,0.8470770330455384,0.07890111918692047,5
combat,tissueformer,64,group_balanced_accuracy,0.8464500931054949,0.0955611351794481,3
combat,tissueformer,128,group_balanced_accuracy,0.645082866755057,0.18658945539249017,2
combat,tissueformer,256,group_balanced_accuracy,0.8720526146579977,0.0803523311340468,2
combat,tissueformer,512,group_balanced_accuracy,0.750726504677193,0.07141273238190153,3
combat,tissueformer,1,donor_majority_accuracy,0.7254901960784315,0.23773246378396354,3
combat,tissueformer,2,donor_majority_accuracy,0.8382352941176471,0.02941176470588236,4
combat,tissueformer,4,donor_majority_accuracy,0.8235294117647057,0.11764705882352933,3
combat,tissueformer,8,donor_majority_accuracy,0.823529411764706,0.11004874666982176,5
combat,tissueformer,16,donor_majority_accuracy,0.8235294117647058,0.08318903308077023,5
combat,tissueformer,32,donor_majority_accuracy,0.8352941176470587,0.10522672835293122,5
combat,tissueformer,64,donor_majority_accuracy,0.8431372549019608,0.12245094114506655,3
combat,tissueformer,128,donor_majority_accuracy,0.6176470588235294,0.12478354962115547,2
combat,tissueformer,256,donor_majority_accuracy,0.7647058823529411,0.08318903308077023,2
combat,tissueformer,512,donor_majority_accuracy,0.7254901960784315,0.1480359693190343,3
combat,tissueformer,1,donor_majority_balanced_accuracy,0.7916666666666666,0.18162078931419473,3
combat,tissueformer,2,donor_majority_balanced_accuracy,0.8880062067562068,0.04099143026093305,4
combat,tissueformer,4,donor_majority_balanced_accuracy,0.8803418803418803,0.09146322532403635,3
combat,tissueformer,8,donor_majority_balanced_accuracy,0.8068294668294669,0.1498632428638104,5
combat,tissueformer,16,donor_majority_balanced_accuracy,0.8240598290598291,0.09897184843302737,5
combat,tissueformer,32,donor_majority_balanced_accuracy,0.8700569800569802,0.08929119627375891,5
combat,tissueformer,64,donor_majority_balanced_accuracy,0.8942307692307692,0.09338975823290688,3
combat,tissueformer,128,donor_majority_balanced_accuracy,0.599537037037037,0.2717123279559418,2
combat,tissueformer,256,donor_majority_balanced_accuracy,0.8573717948717948,0.09292108342515526,2
combat,tissueformer,512,donor_majority_balanced_accuracy,0.8045550128883462,0.13350431836360555,3
combat,random_forest_pseudobulk,1,group_accuracy,0.47177310062576855,0.07020658973795867,5
combat,random_forest_pseudobulk,2,group_accuracy,0.49846662391981567,0.11119150742880868,4
combat,random_forest_pseudobulk,4,group_accuracy,0.49566206506939076,0.08895215783834072,6
combat,random_forest_pseudobulk,8,group_accuracy,0.5061349190450369,0.07450080933035037,6
combat,random_forest_pseudobulk,16,group_accuracy,0.5625695430204823,0.1039608718766033,6
combat,random_forest_pseudobulk,32,group_accuracy,0.6637283647466404,0.06991010981541776,7
combat,random_forest_pseudobulk,64,group_accuracy,0.7240308053763155,0.05870500840916294,7
combat,random_forest_pseudobulk,128,group_accuracy,0.7211060618775841,0.11756618863410415,7
combat,random_forest_pseudobulk,256,group_accuracy,0.7785856669451395,0.05172276864055116,7
combat,random_forest_pseudobulk,512,group_accuracy,0.7591324508996592,0.06820525884822176,8
combat,random_forest_pseudobulk,all,group_accuracy,0.8333333333333331,0.07818589034265441,6
combat,random_forest_pseudobulk,1,group_balanced_accuracy,0.3479946560596316,0.020294871032095835,5
combat,random_forest_pseudobulk,2,group_balanced_accuracy,0.35677336665526194,0.021727262949548694,4
combat,random_forest_pseudobulk,4,group_balanced_accuracy,0.3575127435204001,0.028961599585768213,5
combat,random_forest_pseudobulk,8,group_balanced_accuracy,0.3854490322553622,0.05527320201356018,5
combat,random_forest_pseudobulk,16,group_balanced_accuracy,0.4745096620877022,0.0874783267013833,5
combat,random_forest_pseudobulk,32,group_balanced_accuracy,0.6927219843450974,0.10296780359216842,5
combat,random_forest_pseudobulk,64,group_balanced_accuracy,0.7043821385711111,0.1653714089196205,5
combat,random_forest_pseudobulk,128,group_balanced_accuracy,0.7556659461048096,0.19026847097977098,5
combat,random_forest_pseudobulk,256,group_balanced_accuracy,0.8190842792301003,0.0748411957524111,5
combat,random_forest_pseudobulk,512,group_balanced_accuracy,0.7707815724944834,0.11289704208150834,6
combat,random_forest_pseudobulk,all,group_balanced_accuracy,0.9034544159544159,0.050629003104840725,4
combat,random_forest_pseudobulk,1,donor_majority_accuracy,0.5294117647058824,0.11004874666982183,5
combat,random_forest_pseudobulk,2,donor_majority_accuracy,0.5588235294117647,0.1480359693190343,4
combat,random_forest_pseudobulk,4,donor_majority_accuracy,0.5392156862745098,0.12007302660701853,6
